<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlemlivres	freqlemfilms2	orthosyll	
photocopie	photocopie	0.88	3.89	pho-to-co-pie	
photocopies	photocopie	0.88	3.89	pho-to-co-pies	
plongeur	plongeur	3.11	3.89	plon-geur	
plongeurs	plongeur	3.11	3.89	plon-geurs	
plongeuse	plongeur	3.11	3.89	plon-geu-se	
plongeuses	plongeur	3.11	3.89	plon-geu-ses	
mitraillette	mitraillette	11.35	3.88	mi-trail-let-te	
mitraillettes	mitraillette	11.35	3.88	mi-trail-let-tes	
orchidée	orchidée	2.57	3.88	or-chi-dée	
orchidées	orchidée	2.57	3.88	or-chi-dées	
assise	assise	9.66	3.88	as-si-se	
assises	assise	9.66	3.88	as-si-ses	
clientèle	clientèle	18.78	3.88	clien-tè-le	
clientèles	clientèle	18.78	3.88	clien-tè-les	
clochard	clochard	10.88	3.88	clo-chard	
clocharde	clochard	10.88	3.88	clo-char-de	
clochardes	clochard	10.88	3.88	clo-char-des	
clochards	clochard	10.88	3.88	clo-chard-s	
sardine	sardine	8.38	3.88	sar-di-ne	
sardines	sardine	8.38	3.88	sar-di-nes	
porter	porter	2.36	3.87	por-ter	
répit	répit	11.76	3.87	ré-pit	
répits	répit	11.76	3.87	ré-pits	
évier	évier	12.16	3.87	é-vier	
éviers	évier	12.16	3.87	é-viers	
fainéant	fainéant	1.69	3.87	fai-néant	
fainéante	fainéant	1.69	3.87	fai-néan-te	
fainéantes	fainéant	1.69	3.87	fai-néan-tes	
fainéants	fainéant	1.69	3.87	fai-néants	
accessoire	accessoire	7.30	3.87	ac-ces-soi-re	
accessoires	accessoire	7.30	3.87	ac-ces-soi-res	
ascension	ascension	8.04	3.87	as-cen-sion	
ascensions	ascension	8.04	3.87	as-cen-sions	
axis	axis	0.00	3.87	axis	
dentifrice	dentifrice	1.28	3.87	den-ti-fri-ce	
dentifrices	dentifrice	1.28	3.87	den-ti-fri-ces	
dictature	dictature	5.27	3.86	dic-ta-tu-re	
dictatures	dictature	5.27	3.86	dic-ta-tu-res	
procès-verbal	procès-verbal	2.30	3.86	procès-verbal	
procès-verbaux	procès-verbal	2.30	3.86	procès-verbaux	
total	total	9.66	3.86	to-tal	
totaux	total	9.66	3.86	to-taux	
tracteur	tracteur	6.82	3.86	trac-teur	
tracteurs	tracteur	6.82	3.86	trac-teurs	
frayeur	frayeur	6.89	3.86	frayeur	
frayeurs	frayeur	6.89	3.86	frayeurs	
orientation	orientation	6.89	3.86	o-rien-ta-tion	
orientations	orientation	6.89	3.86	o-rien-ta-tions	
fumeur	fumeur	3.04	3.85	fu-meur	
fumeurs	fumeur	3.04	3.85	fu-meurs	
fumeuse	fumeur	3.04	3.85	fu-meu-se	
fumeuses	fumeur	3.04	3.85	fu-meu-ses	
martini	martini	2.23	3.85	mar-ti-ni	
martinis	martini	2.23	3.85	mar-ti-nis	
carré	carré	32.23	3.85	car-ré	
carrés	carré	32.23	3.85	car-rés	
croissant	croissant	18.72	3.85	crois-sant	
croissants	croissant	18.72	3.85	crois-sants	
ecstasy	ecstasy	0.00	3.85	ecs-ta-sy	
sauna	sauna	1.08	3.85	sau-na	
saunas	sauna	1.08	3.85	sau-nas	
vétéran	vétéran	2.43	3.84	vé-té-ran	
vétérans	vétéran	2.43	3.84	vé-té-rans	
gouffre	gouffre	13.38	3.84	gouf-fre	
gouffres	gouffre	13.38	3.84	gouf-fres	
normale	normale	2.50	3.84	nor-ma-le	
normales	normale	2.50	3.84	nor-ma-les	
bise	bise	8.72	3.84	bi-se	
bises	bise	8.72	3.84	bi-ses	
chaperon	chaperon	1.35	3.84	cha-pe-ron	
chaperons	chaperon	1.35	3.84	cha-pe-rons	
consulat	consulat	2.43	3.84	con-su-lat	
consulats	consulat	2.43	3.84	con-su-lats	
doublure	doublure	4.53	3.84	dou-blu-re	
doublures	doublure	4.53	3.84	dou-blu-res	
bocal	bocal	7.50	3.83	bo-cal	
bocaux	bocal	7.50	3.83	bo-caux	
brèche	brèche	9.59	3.83	brè-che	
brèches	brèche	9.59	3.83	brè-ches	
protecteur	protecteur	5.61	3.83	pro-tec-teur	
protecteurs	protecteur	5.61	3.83	pro-tec-teurs	
protectrice	protecteur	5.61	3.83	pro-tec-tri-ce	
protectrices	protecteur	5.61	3.83	pro-tec-tri-ces	
triangle	triangle	13.24	3.83	tri-an-gle	
triangles	triangle	13.24	3.83	tri-an-gles	
torse	torse	21.08	3.82	tor-se	
torses	torse	21.08	3.82	tor-ses	
traversée	traversée	14.80	3.82	tra-ver-sée	
traversées	traversée	14.80	3.82	tra-ver-sées	
bûcher	bûcher	9.59	3.82	bû-cher	
bûchers	bûcher	9.59	3.82	bû-chers	
entrain	entrain	7.97	3.82	en-train	
pilier	pilier	16.15	3.82	pi-lier	
piliers	pilier	16.15	3.82	pi-liers	
gazon	gazon	7.77	3.81	ga-zon	
gazons	gazon	7.77	3.81	ga-zons	
gomme	gomme	9.93	3.81	gom-me	
gommes	gomme	9.93	3.81	gom-mes	
guichet	guichet	8.45	3.81	gui-chet	
guichets	guichet	8.45	3.81	gui-chets	
procession	procession	10.20	3.81	pro-ces-sion	
processions	procession	10.20	3.81	pro-ces-sions	
tequila	tequila	0.20	3.81	te-qui-la	
tequilas	tequila	0.20	3.81	te-qui-las	
costard	costard	6.82	3.81	cos-tard	
costards	costard	6.82	3.81	cos-tard-s	
excitation	excitation	16.69	3.81	ex-ci-ta-tion	
excitations	excitation	16.69	3.81	ex-ci-ta-tions	
bonus	bonus	0.41	3.80	bo-nus	
poivre	poivre	6.89	3.80	poi-vre	
poivres	poivre	6.89	3.80	poi-vres	
zèbre	zèbre	5.14	3.80	zè-bre	
zèbres	zèbre	5.14	3.80	zè-bres	
étrange	étrange	3.58	3.80	é-tran-ge	
étranges	étrange	3.58	3.80	é-tran-ges	
pop-corn	pop-corn	0.14	3.79	pop-corn	
sanglot	sanglot	29.12	3.79	san-glot	
sanglots	sanglot	29.12	3.79	san-glots	
tribord	tribord	1.28	3.79	tri-bord	
infanterie	infanterie	10.07	3.79	in-fan-te-rie	
infanteries	infanterie	10.07	3.79	in-fan-te-ries	
maçon	maçon	6.76	3.79	ma-çon	
maçonne	maçon	6.76	3.79	ma-çon-ne	
maçons	maçon	6.76	3.79	ma-çons	
mm	mm	1.35	3.79	mm	
mare	mare	13.04	3.78	ma-re	
mares	mare	13.04	3.78	ma-res	
matériau	matériau	5.14	3.78	ma-té-riau	
matériaux	matériau	5.14	3.78	ma-té-riaux	
cocu	cocu	2.03	3.78	co-cu	
cocue	cocu	2.03	3.78	co-cue	
cocus	cocu	2.03	3.78	co-cus	
combustion	combustion	1.89	3.78	com-bus-tion	
combustions	combustion	1.89	3.78	com-bus-tions	
dentelle	dentelle	25.07	3.78	den-tel-le	
dentelles	dentelle	25.07	3.78	den-tel-les	
archer	archer	2.50	3.77	ar-cher	
archers	archer	2.50	3.77	ar-chers	
archères	archer	2.50	3.77	ar-chè-res	
expo	expo	0.54	3.77	ex-po	
expos	expo	0.54	3.77	ex-pos	
halte	halte	12.77	3.77	hal-te	
haltes	halte	12.77	3.77	hal-tes	
marijuana	marijuana	0.41	3.77	ma-ri-jua-na	
milice	milice	4.39	3.77	mi-li-ce	
milices	milice	4.39	3.77	mi-li-ces	
patin	patin	5.61	3.77	pa-tin	
patins	patin	5.61	3.77	pa-tins	
sincérité	sincérité	9.66	3.77	sin-cé-ri-té	
supplice	supplice	13.38	3.77	sup-pli-ce	
supplices	supplice	13.38	3.77	sup-pli-ces	
set	set	0.61	3.76	set	
sets	set	0.61	3.76	sets	
tirage	tirage	6.01	3.76	ti-ra-ge	
tirages	tirage	6.01	3.76	ti-ra-ges	
trouillard	trouillard	1.01	3.76	trouil-lard	
trouillarde	trouillard	1.01	3.76	trouil-lar-de	
trouillards	trouillard	1.01	3.76	trouil-lard-s	
entier	entier	6.28	3.76	en-tier	
entiers	entier	6.28	3.76	en-tiers	
final	final	1.69	3.76	fi-nal	
finals	final	1.69	3.76	fi-nals	
forgeron	forgeron	4.39	3.76	for-ge-ron	
forgeronne	forgeron	4.39	3.76	for-ge-ron-ne	
forgerons	forgeron	4.39	3.76	for-ge-rons	
martyre	martyre	6.35	3.75	mar-ty-re	
martyres	martyre	6.35	3.75	mar-ty-res	
mécanique	mécanique	15.14	3.75	mé-ca-ni-que	
mécaniques	mécanique	15.14	3.75	mé-ca-ni-ques	
perquisition	perquisition	2.30	3.75	per-qui-si-tion	
perquisitions	perquisition	2.30	3.75	per-qui-si-tions	
amendement	amendement	0.68	3.75	a-men-de-ment	
amendements	amendement	0.68	3.75	a-men-de-ments	
ave	ave	2.36	3.75	a-ve	
diplomate	diplomate	8.65	3.75	di-plo-ma-te	
diplomates	diplomate	8.65	3.75	di-plo-ma-tes	
amnésie	amnésie	1.15	3.74	a-mné-sie	
amnésies	amnésie	1.15	3.74	a-mné-sies	
anesthésie	anesthésie	2.70	3.74	a-nes-thé-sie	
anesthésies	anesthésie	2.70	3.74	a-nes-thé-sies	
défenseur	défenseur	6.35	3.74	dé-fen-seur	
défenseurs	défenseur	6.35	3.74	dé-fen-seurs	
dérangement	dérangement	1.89	3.74	dé-ran-ge-ment	
dérangements	dérangement	1.89	3.74	dé-ran-ge-ments	
retenue	retenue	8.04	3.74	re-te-nue	
retenues	retenue	8.04	3.74	re-te-nues	
insu	insu	10.20	3.74	in-su	
partage	partage	8.85	3.74	par-ta-ge	
partages	partage	8.85	3.74	par-ta-ges	
labeur	labeur	9.80	3.73	la-beur	
labeurs	labeur	9.80	3.73	la-beurs	
obsédé	obsédé	2.23	3.73	ob-sé-dé	
obsédés	obsédé	2.23	3.73	ob-sé-dés	
pan	pan	26.01	3.73	pan	
pans	pan	26.01	3.73	pans	
bide	bide	8.58	3.73	bi-de	
bides	bide	8.58	3.73	bi-des	
dedans	dedans	8.45	3.73	de-dans	
provenance	provenance	5.27	3.73	pro-ve-nan-ce	
provenances	provenance	5.27	3.73	pro-ve-nan-ces	
scout	scout	2.09	3.73	s-cout	
scoute	scout	2.09	3.73	s-cou-te	
scouts	scout	2.09	3.73	s-couts	
tige	tige	22.16	3.73	ti-ge	
tiges	tige	22.16	3.73	ti-ges	
éruption	éruption	2.09	3.73	é-rup-tion	
éruptions	éruption	2.09	3.73	é-rup-tions	
sceau	sceau	4.93	3.72	s-ceau	
sceaux	sceau	4.93	3.72	s-ceaux	
mi-chemin	mi-chemin	6.35	3.72	mi-chemin	
actionnaire	actionnaire	0.74	3.72	ac-tion-nai-re	
actionnaires	actionnaire	0.74	3.72	ac-tion-nai-res	
contrebande	contrebande	1.96	3.72	con-tre-ban-de	
automobile	automobile	19.46	3.71	au-to-mo-bi-le	
automobiles	automobile	19.46	3.71	au-to-mo-bi-les	
voyeur	voyeur	4.26	3.71	voyeur	
voyeurs	voyeur	4.26	3.71	voyeurs	
voyeuse	voyeur	4.26	3.71	voyeu-se	
extra-terrestre	extra-terrestre	0.34	3.71	ex-tra-ter-res-tre	
extra-terrestres	extra-terrestre	0.34	3.71	ex-tra-ter-res-tres	
nounours	nounours	2.03	3.71	nou-nours	
pharmacien	pharmacien	7.30	3.71	phar-ma-cien	
pharmacienne	pharmacien	7.30	3.71	phar-ma-cien-ne	
pharmaciens	pharmacien	7.30	3.71	phar-ma-ciens	
handicap	handicap	2.70	3.70	han-di-cap	
handicaps	handicap	2.70	3.70	han-di-caps	
consommation	consommation	9.66	3.70	con-som-ma-tion	
consommations	consommation	9.66	3.70	con-som-ma-tions	
adultère	adultère	3.65	3.69	a-dul-tè-re	
adultères	adultère	3.65	3.69	a-dul-tè-res	
caractéristique	caractéristique	2.77	3.69	ca-rac-té-ris-ti-que	
caractéristiques	caractéristique	2.77	3.69	ca-rac-té-ris-ti-ques	
dure	dure	5.81	3.69	du-re	
dures	dure	5.81	3.69	du-res	
harcèlement	harcèlement	1.49	3.69	har-cè-le-ment	
harcèlements	harcèlement	1.49	3.69	har-cè-le-ments	
insomnie	insomnie	8.24	3.69	in-som-nie	
insomnies	insomnie	8.24	3.69	in-som-nies	
magnum	magnum	1.76	3.69	mag-num	
magnums	magnum	1.76	3.69	mag-num-s	
république	république	21.96	3.69	ré-pu-bli-que	
républiques	république	21.96	3.69	ré-pu-bli-ques	
simulation	simulation	0.61	3.69	si-mu-la-tion	
simulations	simulation	0.61	3.69	si-mu-la-tions	
rogne	rogne	2.43	3.68	ro-gne	
rognes	rogne	2.43	3.68	ro-gnes	
transition	transition	8.78	3.68	tran-si-tion	
transitions	transition	8.78	3.68	tran-si-tions	
trouduc	trouduc	0.41	3.68	trou-duc	
aurore	aurore	11.62	3.68	au-ro-re	
aurores	aurore	11.62	3.68	au-ro-res	
démocrate	démocrate	1.08	3.68	dé-mo-cra-te	
démocrates	démocrate	1.08	3.68	dé-mo-cra-tes	
hippie	hippie	0.27	3.68	hip-pie	
hippies	hippie	0.27	3.68	hip-pies	
exposé	exposé	5.88	3.67	ex-po-sé	
exposés	exposé	5.88	3.67	ex-po-sés	
extase	extase	11.55	3.67	ex-ta-se	
extases	extase	11.55	3.67	ex-ta-ses	
fabricant	fabricant	3.45	3.67	fa-bri-cant	
fabricante	fabricant	3.45	3.67	fa-bri-can-te	
fabricantes	fabricant	3.45	3.67	fa-bri-can-tes	
fabricants	fabricant	3.45	3.67	fa-bri-cants	
immortalité	immortalité	4.53	3.67	im-mor-ta-li-té	
immortalités	immortalité	4.53	3.67	im-mor-ta-li-tés	
morue	morue	5.61	3.67	mo-rue	
morues	morue	5.61	3.67	mo-rues	
mulet	mulet	7.43	3.67	mu-let	
mulets	mulet	7.43	3.67	mu-lets	
punch	punch	3.11	3.67	pun-ch	
punchs	punch	3.11	3.67	pun-chs	
terrien	terrien	1.01	3.67	ter-rien	
terrienne	terrien	1.01	3.67	ter-rien-ne	
terriennes	terrien	1.01	3.67	ter-rien-nes	
terriens	terrien	1.01	3.67	ter-riens	
thérapeute	thérapeute	0.07	3.67	thé-ra-peu-te	
thérapeutes	thérapeute	0.07	3.67	thé-ra-peu-tes	
tract	tract	9.39	3.67	tract	
tracts	tract	9.39	3.67	tracts	
trompe	trompe	7.64	3.67	trom-pe	
trompes	trompe	7.64	3.67	trom-pes	
éclaireur	éclaireur	2.50	3.67	é-clai-reur	
éclaireurs	éclaireur	2.50	3.67	é-clai-reurs	
éclaireuse	éclaireur	2.50	3.67	é-clai-reu-se	
éclaireuses	éclaireur	2.50	3.67	é-clai-reu-ses	
acompte	acompte	1.15	3.67	a-comp-te	
acomptes	acompte	1.15	3.67	a-comp-tes	
cachot	cachot	7.09	3.67	ca-chot	
cachots	cachot	7.09	3.67	ca-chots	
douille	douille	3.51	3.67	douil-le	
douilles	douille	3.51	3.67	douil-les	
excursion	excursion	4.59	3.67	ex-cur-sion	
excursions	excursion	4.59	3.67	ex-cur-sions	
emprunt	emprunt	4.73	3.66	em-prunt	
emprunts	emprunt	4.73	3.66	em-prunts	
p.	p.	0.34	3.66		
probabilité	probabilité	2.23	3.66	pro-ba-bi-li-té	
probabilités	probabilité	2.23	3.66	pro-ba-bi-li-tés	
radiateur	radiateur	7.43	3.65	ra-dia-teur	
radiateurs	radiateur	7.43	3.65	ra-dia-teurs	
restau	restau	2.50	3.65	res-tau	
restaus	restau	2.50	3.65	res-taus	
truite	truite	7.91	3.65	trui-te	
truites	truite	7.91	3.65	trui-tes	
bourgeoisie	bourgeoisie	10.27	3.65	bour-geoi-sie	
bourgeoisies	bourgeoisie	10.27	3.65	bour-geoi-sies	
contremaître	contremaître	3.99	3.65	con-tre-maî-tre	
contremaîtres	contremaître	3.99	3.65	con-tre-maî-tres	
haut-parleur	haut-parleur	7.36	3.65	haut-parleur	
haut-parleurs	haut-parleur	7.36	3.65	haut-parleurs	
léopard	léopard	2.70	3.64	léo-pard	
léopards	léopard	2.70	3.64	léo-pard-s	
mayonnaise	mayonnaise	3.45	3.64	mayon-nai-se	
mayonnaises	mayonnaise	3.45	3.64	mayon-nai-ses	
obstruction	obstruction	0.47	3.64	obs-truc-tion	
obstructions	obstruction	0.47	3.64	obs-truc-tions	
piquet	piquet	9.39	3.64	pi-quet	
piquets	piquet	9.39	3.64	pi-quets	
charogne	charogne	7.16	3.64	cha-ro-gne	
charognes	charogne	7.16	3.64	cha-ro-gnes	
envahisseur	envahisseur	8.31	3.64	en-va-his-seur	
envahisseurs	envahisseur	8.31	3.64	en-va-his-seurs	
anatomie	anatomie	4.80	3.63	a-na-to-mie	
anatomies	anatomie	4.80	3.63	a-na-to-mies	
bobine	bobine	5.88	3.63	bo-bi-ne	
bobines	bobine	5.88	3.63	bo-bi-nes	
couvre-feu	couvre-feu	3.11	3.63	couvre-feu	
dégonflé	dégonflé	1.01	3.63	dé-gon-flé	
dégonflée	dégonflé	1.01	3.63	dé-gon-flée	
dégonflées	dégonflé	1.01	3.63	dé-gon-flées	
dégonflés	dégonflé	1.01	3.63	dé-gon-flés	
ra	ra	3.45	3.63	ra	
sculpteur	sculpteur	7.50	3.63	s-culp-teur	
sculpteurs	sculpteur	7.50	3.63	s-culp-teurs	
sculptrice	sculpteur	7.50	3.63	s-culp-tri-ce	
stupidité	stupidité	3.31	3.63	s-tu-pi-di-té	
stupidités	stupidité	3.31	3.63	s-tu-pi-di-tés	
fraternité	fraternité	7.43	3.63	fra-ter-ni-té	
fraternités	fraternité	7.43	3.63	fra-ter-ni-tés	
moquette	moquette	15.95	3.63	mo-quet-te	
moquettes	moquette	15.95	3.63	mo-quet-tes	
pharaon	pharaon	2.64	3.63	pha-raon	
pharaonnes	pharaon	2.64	3.63	pha-raon-nes	
pharaons	pharaon	2.64	3.63	pha-raons	
foutre	foutre	6.42	3.62	fou-tre	
gêne	gêne	27.30	3.62	gê-ne	
gênes	gêne	27.30	3.62	gê-nes	
homosexuel	homosexuel	4.32	3.62	ho-mo-sexuel	
homosexuels	homosexuel	4.32	3.62	ho-mo-sexuels	
indifférence	indifférence	38.31	3.62	in-dif-fé-ren-ce	
indifférences	indifférence	38.31	3.62	in-dif-fé-ren-ces	
la	la	0.74	3.62	la	
barbier	barbier	22.50	3.62	bar-bier	
barbiers	barbier	22.50	3.62	bar-biers	
scooter	scooter	2.77	3.62	s-coo-ter	
scooters	scooter	2.77	3.62	s-coo-ters	
solitaire	solitaire	8.31	3.62	so-li-tai-re	
solitaires	solitaire	8.31	3.62	so-li-tai-res	
thorax	thorax	2.03	3.62	tho-rax	
val	val	4.93	3.61	val	
vals	val	4.93	3.61	vals	
vaux	val	4.93	3.61	vaux	
vigueur	vigueur	15.61	3.61	vi-gueur	
vigueurs	vigueur	15.61	3.61	vi-gueurs	
fauve	fauve	13.38	3.61	fau-ve	
fauves	fauve	13.38	3.61	fau-ves	
logiciel	logiciel	0.14	3.61	lo-gi-ciel	
logiciels	logiciel	0.14	3.61	lo-gi-ciels	
parchemin	parchemin	4.80	3.61	par-che-min	
parchemins	parchemin	4.80	3.61	par-che-mins	
joyau	joyau	3.24	3.60	joyau	
joyaux	joyau	3.24	3.60	joyaux	
lacs	lacs	8.58	3.60	lacs	
revers	revers	25.00	3.60	re-vers	
sicilien	sicilien	1.96	3.60	si-ci-lien	
sicilienne	sicilien	1.96	3.60	si-ci-lien-ne	
siciliennes	sicilien	1.96	3.60	si-ci-lien-nes	
siciliens	sicilien	1.96	3.60	si-ci-liens	
sursis	sursis	7.36	3.60	sur-sis	
protéine	protéine	0.47	3.59	pro-téi-ne	
protéines	protéine	0.47	3.59	pro-téi-nes	
psychiatrie	psychiatrie	1.22	3.59	psy-chia-trie	
pôle	pôle	3.99	3.59	pô-le	
pôles	pôle	3.99	3.59	pô-les	
re-cul	recul	15.61	3.59	re-cul	
recul	recul	15.61	3.59	re-cul	
reculs	recul	15.61	3.59	re-culs	
store	store	7.09	3.59	s-to-re	
stores	store	7.09	3.59	s-to-res	
timing	timing	0.14	3.59	ti-ming	
timings	timing	0.14	3.59	ti-ming-s	
venin	venin	3.11	3.59	ve-nin	
venins	venin	3.11	3.59	ve-nins	
indication	indication	12.43	3.59	in-di-ca-tion	
indications	indication	12.43	3.59	in-di-ca-tions	
natation	natation	1.22	3.59	na-ta-tion	
camelote	camelote	4.80	3.59	ca-me-lo-te	
camelotes	camelote	4.80	3.59	ca-me-lo-tes	
enseigne	enseigne	14.05	3.59	en-sei-gne	
enseignes	enseigne	14.05	3.59	en-sei-gnes	
roc	roc	11.76	3.58	roc	
rocs	roc	11.76	3.58	rocs	
réfrigérateur	réfrigérateur	2.77	3.58	ré-fri-gé-ra-teur	
réfrigérateurs	réfrigérateur	2.77	3.58	ré-fri-gé-ra-teurs	
séminaire	séminaire	4.59	3.58	sé-mi-nai-re	
séminaires	séminaire	4.59	3.58	sé-mi-nai-res	
tôle	tôle	15.41	3.58	tô-le	
tôles	tôle	15.41	3.58	tô-les	
yaourt	yaourt	4.73	3.58	yaourt	
yaourts	yaourt	4.73	3.58	yaourts	
lobe	lobe	2.09	3.58	lo-be	
lobes	lobe	2.09	3.58	lo-bes	
paragraphe	paragraphe	3.65	3.58	pa-ra-gra-phe	
paragraphes	paragraphe	3.65	3.58	pa-ra-gra-phes	
adrénaline	adrénaline	0.68	3.57	a-dré-na-li-ne	
adrénalines	adrénaline	0.68	3.57	a-dré-na-li-nes	
aumône	aumône	3.78	3.57	au-mô-ne	
aumônes	aumône	3.78	3.57	au-mô-nes	
bavardage	bavardage	9.73	3.57	ba-var-da-ge	
bavardages	bavardage	9.73	3.57	ba-var-da-ges	
cil	cil	19.26	3.57	cil	
cils	cil	19.26	3.57	cils	
ruche	ruche	3.51	3.57	ru-che	
ruches	ruche	3.51	3.57	ru-ches	
tué	tué	3.99	3.56	tué	
tuée	tué	3.99	3.56	tuée	
tuées	tué	3.99	3.56	tuées	
tués	tué	3.99	3.56	tués	
érection	érection	4.05	3.56	é-rec-tion	
érections	érection	4.05	3.56	é-rec-tions	
fanatique	fanatique	3.92	3.56	fa-na-ti-que	
fanatiques	fanatique	3.92	3.56	fa-na-ti-ques	
ivresse	ivresse	18.11	3.56	i-vres-se	
ivresses	ivresse	18.11	3.56	i-vres-ses	
non	non	3.38	3.56	non	
on	on	0.00	3.56	on	
barbelé	barbelé	8.38	3.56	bar-be-lé	
barbelés	barbelé	8.38	3.56	bar-be-lés	
cinéaste	cinéaste	1.76	3.56	ci-néas-te	
cinéastes	cinéaste	1.76	3.56	ci-néas-tes	
consentement	consentement	5.95	3.56	con-sen-te-ment	
consentements	consentement	5.95	3.56	con-sen-te-ments	
courroux	courroux	2.09	3.55	cour-roux	
critère	critère	1.89	3.55	cri-tè-re	
critères	critère	1.89	3.55	cri-tè-res	
estimation	estimation	1.22	3.55	es-ti-ma-tion	
estimations	estimation	1.22	3.55	es-ti-ma-tions	
proprio	proprio	4.12	3.55	pro-prio	
proprios	proprio	4.12	3.55	pro-prios	
florin	florin	1.76	3.55	flo-rin	
florins	florin	1.76	3.55	flo-rins	
kidnappeur	kidnappeur	0.27	3.55	kid-nap-peur	
kidnappeurs	kidnappeur	0.27	3.55	kid-nap-peurs	
lycéen	lycéen	10.61	3.55	ly-céen	
lycéenne	lycéen	10.61	3.55	ly-céen-ne	
lycéennes	lycéen	10.61	3.55	ly-céen-nes	
lycéens	lycéen	10.61	3.55	ly-céens	
interdit	interdit	7.97	3.54	in-ter-dit	
interdite	interdit	7.97	3.54	in-ter-di-te	
interdites	interdit	7.97	3.54	in-ter-di-tes	
interdits	interdit	7.97	3.54	in-ter-dits	
joker	joker	0.14	3.54	jo-ker	
jokers	joker	0.14	3.54	jo-kers	
menuisier	menuisier	4.46	3.54	me-nui-sier	
menuisiers	menuisier	4.46	3.54	me-nui-siers	
pair	pair	6.62	3.54	pair	
pairs	pair	6.62	3.54	pairs	
cal	cal	0.68	3.54	cal	
cals	cal	0.68	3.54	cals	
prémonition	prémonition	2.64	3.54	pré-mo-ni-tion	
prémonitions	prémonition	2.64	3.54	pré-mo-ni-tions	
pétition	pétition	1.76	3.54	pé-ti-tion	
pétitions	pétition	1.76	3.54	pé-ti-tions	
raciste	raciste	2.70	3.54	ra-cis-te	
racistes	raciste	2.70	3.54	ra-cis-tes	
ration	ration	8.18	3.54	ra-tion	
rations	ration	8.18	3.54	ra-tions	
scorpion	scorpion	2.64	3.54	s-cor-pion	
scorpions	scorpion	2.64	3.54	s-cor-pions	
w	w	2.70	3.54	w	
électeur	électeur	3.11	3.54	é-lec-teur	
électeurs	électeur	3.11	3.54	é-lec-teurs	
électrice	électeur	3.11	3.54	é-lec-tri-ce	
électrices	électeur	3.11	3.54	é-lec-tri-ces	
semestre	semestre	1.49	3.53	se-mes-tre	
semestres	semestre	1.49	3.53	se-mes-tres	
flaque	flaque	23.99	3.53	fla-que	
flaques	flaque	23.99	3.53	fla-ques	
oeillet	oeillet	6.08	3.53	oeil-let	
oeillets	oeillet	6.08	3.53	oeil-lets	
poivrot	poivrot	3.51	3.53	poi-vrot	
poivrote	poivrot	3.51	3.53	poi-vro-te	
poivrotes	poivrot	3.51	3.53	poi-vro-tes	
poivrots	poivrot	3.51	3.53	poi-vrots	
autruche	autruche	3.04	3.53	au-tru-che	
autruches	autruche	3.04	3.53	au-tru-ches	
couturier	couturier	10.27	3.52	cou-tu-rier	
couturiers	couturier	10.27	3.52	cou-tu-riers	
couturière	couturier	10.27	3.52	cou-tu-riè-re	
couturières	couturier	10.27	3.52	cou-tu-riè-res	
repère	repère	9.59	3.52	re-pè-re	
repères	repère	9.59	3.52	re-pè-res	
saveur	saveur	12.36	3.52	sa-veur	
saveurs	saveur	12.36	3.52	sa-veurs	
trèfle	trèfle	5.00	3.52	trè-fle	
trèfles	trèfle	5.00	3.52	trè-fles	
vomi	vomi	1.49	3.52	vo-mi	
vomis	vomi	1.49	3.52	vo-mis	
gale	gale	0.47	3.52	ga-le	
gales	gale	0.47	3.52	ga-les	
hostilité	hostilité	15.81	3.52	hos-ti-li-té	
hostilités	hostilité	15.81	3.52	hos-ti-li-tés	
larve	larve	3.92	3.52	lar-ve	
larves	larve	3.92	3.52	lar-ves	
plaine	plaine	39.86	3.52	plai-ne	
pingouin	pingouin	2.64	3.51	pin-gouin	
pingouins	pingouin	2.64	3.51	pin-gouins	
calife	calife	2.03	3.51	ca-li-fe	
califes	calife	2.03	3.51	ca-li-fes	
chausson	chausson	5.95	3.50	chaus-son	
chaussons	chausson	5.95	3.50	chaus-sons	
cierge	cierge	15.95	3.50	cier-ge	
cierges	cierge	15.95	3.50	cier-ges	
girafe	girafe	3.18	3.50	gi-ra-fe	
girafes	girafe	3.18	3.50	gi-ra-fes	
hétéro	hétéro	0.34	3.50	hé-té-ro	
hétéros	hétéro	0.34	3.50	hé-té-ros	
morse	morse	0.88	3.50	mor-se	
nomination	nomination	3.11	3.50	no-mi-na-tion	
nominations	nomination	3.11	3.50	no-mi-na-tions	
renvoi	renvoi	4.80	3.50	ren-voi	
renvois	renvoi	4.80	3.50	ren-vois	
spot	spot	1.49	3.50	s-pot	
spots	spot	1.49	3.50	s-pots	
équation	équation	2.84	3.50	é-qua-tion	
équations	équation	2.84	3.50	é-qua-tions	
q	q	0.61	3.49	q	
clone	clone	0.20	3.49	clo-ne	
clones	clone	0.20	3.49	clo-nes	
diligence	diligence	2.91	3.49	di-li-gen-ce	
diligences	diligence	2.91	3.49	di-li-gen-ces	
délégation	délégation	12.77	3.49	dé-lé-ga-tion	
délégations	délégation	12.77	3.49	dé-lé-ga-tions	
maternité	maternité	4.73	3.49	ma-ter-ni-té	
maternités	maternité	4.73	3.49	ma-ter-ni-tés	
