<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlemlivres	freqlemfilms2	orthosyll	
police	police	83.72	276.21	po-li-ce	
polices	police	83.72	276.21	po-li-ces	
suite	suite	275.81	275.90	sui-te	
suites	suite	275.81	275.90	sui-tes	
matin	matin	396.76	275.01	ma-tin	
matins	matin	396.76	275.01	ma-tins	
mari	mari	124.26	264.15	ma-ri	
maris	mari	124.26	264.15	ma-ris	
revoir	revoir	36.01	262.05	re-voir	
papa	papa	77.16	259.01	pa-pa	
train	train	288.65	255.28	train	
trains	train	288.65	255.28	trains	
film	film	74.12	252.66	film	
films	film	74.12	252.66	film-s	
garçon	garçon	262.50	251.51	gar-çon	
garçons	garçon	262.50	251.51	gar-çons	
corps	corps	480.34	250.15	corps	
coeur	coeur	400.74	239.97	coeur	
coeurs	coeur	400.74	239.97	coeurs	
feu	feu	236.15	233.96	feu	
feux	feu	236.15	233.96	feux	
docteur	docteur	87.36	233.86	doc-teur	
docteurs	docteur	87.36	233.86	doc-teurs	
doctoresse	docteur	87.36	233.86	doc-to-res-se	
façon	façon	277.30	230.48	fa-çon	
façons	façon	277.30	230.48	fa-çons	
nouveau	nouveau	292.43	229.97	nou-veau	
nouveaux	nouveau	292.43	229.97	nou-veaux	
nouvelle	nouveau	292.43	229.97	nou-vel-le	
nouvelles	nouveau	292.43	229.97	nou-vel-les	
point	point	323.58	225.32	point	
points	point	323.58	225.32	points	
chien	chien	184.59	223.53	chien	
chienne	chien	184.59	223.53	chien-ne	
chiennes	chien	184.59	223.53	chien-nes	
chiens	chien	184.59	223.53	chiens	
petit	petit	169.66	221.75	pe-tit	
petite	petit	169.66	221.75	pe-ti-te	
petites	petit	169.66	221.75	pe-ti-tes	
petits	petit	169.66	221.75	pe-tits	
guerre	guerre	354.59	221.65	guer-re	
guerres	guerre	354.59	221.65	guer-res	
genre	genre	157.91	221.51	gen-re	
genres	genre	157.91	221.51	gen-res	
arme	arme	111.49	220.22	ar-me	
armes	arme	111.49	220.22	ar-mes	
cause	cause	197.30	218.60	cau-se	
causes	cause	197.30	218.60	cau-ses	
endroit	endroit	137.57	218.24	en-droit	
endroits	endroit	137.57	218.24	en-droits	
ordre	ordre	235.34	217.25	or-dre	
ordres	ordre	235.34	217.25	or-dres	
reste	reste	168.58	214.54	res-te	
restes	reste	168.58	214.54	res-tes	
pied	pied	486.42	214.08	pied	
pieds	pied	486.42	214.08	pied-s	
envie	envie	258.11	213.96	en-vie	
envies	envie	258.11	213.96	en-vies	
fin	fin	314.53	213.37	fin	
fins	fin	314.53	213.37	fins	
merde	merde	62.77	213.05	mer-de	
merdes	merde	62.77	213.05	mer-des	
photo	photo	94.59	209.10	pho-to	
photos	photo	94.59	209.10	pho-to-s	
droit	droit	163.72	207.62	droit	
droits	droit	163.72	207.62	droits	
école	école	143.99	206.88	é-co-le	
écoles	école	143.99	206.88	é-co-les	
chef	chef	205.95	205.26	chef	
chefs	chef	205.95	205.26	chef-s	
boulot	boulot	35.61	202.97	bou-lot	
boulots	boulot	35.61	202.97	bou-lots	
pays	pays	241.55	202.57	pays	
peine	peine	399.53	199.75	pei-ne	
peines	peine	399.53	199.75	pei-nes	
livre	livre	286.49	198.11	li-vre	
livres	livre	286.49	198.11	li-vres	
tour	tour	308.72	193.82	tour	
tours	tour	308.72	193.82	tours	
vérité	vérité	140.88	193.24	vé-ri-té	
vérités	vérité	140.88	193.24	vé-ri-tés	
bébé	bébé	45.20	191.63	bé-bé	
bébés	bébé	45.20	191.63	bé-bés	
partie	partie	211.49	191.19	par-tie	
parties	partie	211.49	191.19	par-ties	
jeu	jeu	173.31	190.44	jeu	
jeux	jeu	173.31	190.44	jeux	
instant	instant	340.20	189.41	ins-tant	
instants	instant	340.20	189.41	ins-tants	
parent	parent	146.35	188.38	pa-rent	
parente	parent	146.35	188.38	pa-ren-te	
parentes	parent	146.35	188.38	pa-ren-tes	
parents	parent	146.35	188.38	pa-rents	
service	service	142.77	187.67	ser-vi-ce	
services	service	142.77	187.67	ser-vi-ces	
plaisir	plaisir	233.85	186.37	plai-sir	
plaisirs	plaisir	233.85	186.37	plai-sirs	
soeur	soeur	161.01	184.99	soeur	
soeurs	soeur	161.01	184.99	soeurs	
lit	lit	338.18	184.27	lit	
lits	lit	338.18	184.27	lits	
lieu	lieu	267.57	182.00	lieu	
lieus	lieu	267.57	182.00	lieus	
lieux	lieu	267.57	182.00	lieux	
roi	roi	98.92	177.53	roi	
rois	roi	98.92	177.53	rois	
verre	verre	230.07	176.57	ver-re	
verres	verre	230.07	176.57	ver-res	
aide	aide	55.54	175.59	ai-de	
aides	aide	55.54	175.59	ai-des	
journée	journée	179.39	174.89	jour-née	
journées	journée	179.39	174.89	jour-nées	
numéro	numéro	70.07	173.48	nu-mé-ro	
numéros	numéro	70.07	173.48	nu-mé-ros	
chéri	chéri	36.28	171.98	ché-ri	
chérie	chéri	36.28	171.98	ché-rie	
chéries	chéri	36.28	171.98	ché-ries	
chéris	chéri	36.28	171.98	ché-ris	
musique	musique	114.32	169.80	mu-si-que	
musiques	musique	114.32	169.80	mu-si-ques	
faute	faute	95.20	169.26	fau-te	
fautes	faute	95.20	169.26	fau-tes	
mariage	mariage	78.72	167.39	ma-ria-ge	
mariages	mariage	78.72	167.39	ma-ria-ges	
bureau	bureau	150.07	167.13	bu-reau	
bureaux	bureau	150.07	167.13	bu-reaux	
route	route	288.04	166.72	rou-te	
routes	route	288.04	166.72	rou-tes	
café	café	177.30	163.56	ca-fé	
cafés	café	177.30	163.56	ca-fés	
confiance	confiance	91.96	162.90	con-fian-ce	
confiances	confiance	91.96	162.90	con-fian-ces	
bonsoir	bonsoir	22.23	161.17	bon-soir	
bonsoirs	bonsoir	22.23	161.17	bon-soirs	
compte	compte	208.38	160.95	comp-te	
comptes	compte	208.38	160.95	comp-tes	
téléphone	téléphone	96.82	160.80	té-lé-pho-ne	
téléphones	téléphone	96.82	160.80	té-lé-pho-nes	
rêve	rêve	128.58	158.75	rê-ve	
rêves	rêve	128.58	158.75	rê-ves	
copain	copain	103.38	158.62	co-pain	
copains	copain	103.38	158.62	co-pains	
copine	copain	103.38	158.62	co-pi-ne	
copines	copain	103.38	158.62	co-pi-nes	
attention	attention	124.53	158.52	at-ten-tion	
attentions	attention	124.53	158.52	at-ten-tions	
rue	rue	562.97	157.81	rue	
rues	rue	562.97	157.81	rues	
lettre	lettre	256.01	156.77	let-tre	
lettres	lettre	256.01	156.77	let-tres	
fête	fête	94.05	155.97	fê-te	
fêtes	fête	94.05	155.97	fê-tes	
esprit	esprit	216.28	155.82	es-prit	
esprits	esprit	216.28	155.82	es-prits	
seigneur	seigneur	60.14	153.82	sei-gneur	
seigneurs	seigneur	60.14	153.82	sei-gneurs	
flic	flic	72.43	153.50	flic	
flics	flic	72.43	153.50	flics	
capitaine	capitaine	92.57	152.69	ca-pi-tai-ne	
capitaines	capitaine	92.57	152.69	ca-pi-tai-nes	
âge	âge	217.43	152.59	â-ge	
âges	âge	217.43	152.59	â-ges	
force	force	344.73	151.96	for-ce	
forces	force	344.73	151.96	for-ces	
pièce	pièce	276.35	151.10	piè-ce	
pièces	pièce	276.35	151.10	piè-ces	
cul	cul	68.31	150.81	cul	
culs	cul	68.31	150.81	culs	
bras	bras	487.97	149.26	bras	
plan	plan	88.99	147.54	plan	
plans	plan	88.99	147.54	plans	
prison	prison	72.43	147.49	pri-son	
prisons	prison	72.43	147.49	pri-sons	
premier	premier	173.92	145.76	pre-mier	
premiers	premier	173.92	145.76	pre-miers	
première	premier	173.92	145.76	pre-miè-re	
premières	premier	173.92	145.76	pre-miè-res	
vieille	vieux	185.81	145.73	vieil-le	
vieilles	vieux	185.81	145.73	vieil-les	
vieux	vieux	185.81	145.73	vieux	
état	état	218.18	145.72	é-tat	
états	état	218.18	145.72	é-tats	
carte	carte	111.42	144.96	car-te	
cartes	carte	111.42	144.96	car-tes	
paix	paix	103.72	144.86	paix	
président	président	79.66	143.39	pré-si-dent	
présidente	président	79.66	143.39	pré-si-den-te	
présidentes	président	79.66	143.39	pré-si-den-tes	
présidents	président	79.66	143.39	pré-si-dents	
cours	cours	176.76	143.05	cours	
ciel	ciel	305.20	142.32	ciel	
ciels	ciel	305.20	142.32	ciels	
âme	âme	151.62	141.59	â-me	
âmes	âme	151.62	141.59	â-mes	
patron	patron	132.43	141.53	pa-tron	
patronne	patron	132.43	141.53	pa-tron-ne	
patronnes	patron	132.43	141.53	pa-tron-nes	
patrons	patron	132.43	141.53	pa-trons	
visage	visage	565.00	141.23	vi-sa-ge	
visages	visage	565.00	141.23	vi-sa-ges	
médecin	médecin	75.61	140.19	mé-de-cin	
médecins	médecin	75.61	140.19	mé-de-cins	
rapport	rapport	130.95	140.08	rap-port	
