<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 26806</b> résultats <font class="Normal">sur un total de <b>26806</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
bleue	bleu	53.11	70.61	bleue	
inutile	inutile	53.04	72.71	i-n-uti-le	
double	double	52.84	30.46	dou-ble	
jolie	joli	51.76	226.45	jo-lie	
grosses	gros	51.62	266.95	gros-ses	
content	content	51.22	178.94	con-tent	
vieil	vieil	51.22	34.69	vieil	
rares	rare	50.00	33.27	ra-res	
important	important	49.66	229.36	im-por-tant	
froide	froid	49.59	127.22	froi-de	
grise	gris	49.39	19.64	gri-se	
général	général	48.92	41.31	gé-né-ral	
nus	nu	48.92	49.87	nus	
véritable	véritable	48.51	29.36	vé-ri-ta-ble	
nécessaire	nécessaire	48.45	52.00	né-ces-sai-re	
nationale	national	48.18	34.61	na-tio-na-le	
dernières	dernier	48.04	431.08	der-niè-res	
britannique	britannique	47.97	8.23	bri-tan-ni-que	
légère	léger	47.84	37.77	lé-gè-re	
profond	profond	47.77	42.41	pro-fond	
humaine	humain	47.43	107.10	hu-mai-ne	
nouveaux	nouveau	47.30	209.45	nou-veaux	
chaud	chaud	46.42	84.16	chaud	
folle	fou	46.01	321.31	fol-le	
tendre	tendre	45.54	21.66	ten-dre	
chaude	chaud	45.47	84.16	chau-de	
françaises	français	45.07	43.06	fran-çai-ses	
soudain	soudain	44.80	13.62	sou-dain	
vides	vide	44.66	60.33	vi-des	
pur	pur	44.59	58.46	pur	
joli	joli	44.53	226.45	jo-li	
politique	politique	44.39	38.09	po-li-ti-que	
curieux	curieux	44.26	34.36	cu-rieux	
fort	fort	43.85	95.28	fort	
nue	nu	43.85	49.87	nue	
normal	normal	42.97	127.15	nor-mal	
fraîche	frais	42.91	46.43	fraî-che	
sérieux	sérieux	42.84	110.48	sé-rieux	
national	national	42.70	34.61	na-tio-nal	
silencieux	silencieux	42.64	12.01	si-len-cieux	
riche	riche	42.57	73.85	ri-che	
lourd	lourd	42.50	29.45	lourd	
haut	haut	41.96	68.05	haut	
maigre	maigre	41.82	12.73	mai-gre	
bizarre	bizarre	41.76	131.41	bi-zar-re	
nouvelles	nouvelle	41.69	191.15	nou-vel-les	
extrême	extrême	41.62	12.08	ex-trê-me	
vif	vif	41.62	22.95	vif	
mort	mort	41.28	89.29	mort	
pareille	pareil	41.22	133.45	pa-reil-le	
vivant	vivant	41.15	124.97	vi-vant	
vague	vague	41.08	9.90	va-gue	
épais	épais	41.01	10.19	é-pais	
pleins	plein	40.95	208.75	pleins	
faible	faible	40.95	38.78	fai-ble	
malheureux	malheureux	40.27	37.96	mal-heu-reux	
vain	vain	40.14	19.87	vain	
anciens	ancien	39.86	73.16	an-ciens	
court	court	39.86	41.15	court	
pire	pire	39.80	98.83	pi-re	
ferme	ferme	39.39	25.20	fer-me	
pauvres	pauvre	38.99	178.03	pau-vres	
énormes	énorme	38.78	49.27	é-nor-mes	
incapable	incapable	38.72	20.93	in-ca-pa-ble	
naturel	naturel	38.65	39.78	na-tu-rel	
verte	vert	38.45	52.59	ver-te	
précis	précis	38.24	31.59	pré-cis	
humide	humide	38.24	11.23	hu-mi-de	
claire	clair	38.04	122.69	clai-re	
minuscule	minuscule	38.04	7.26	mi-nus-cu-le	
profonde	profond	37.97	42.41	pro-fon-de	
libres	libre	37.77	134.42	li-bres	
hautes	haut	37.43	68.05	hau-tes	
gentil	gentil	37.36	192.64	gen-til	
rare	rare	37.23	33.27	ra-re	
ancienne	ancien	37.09	73.16	an-cien-ne	
bel	bel	37.09	31.35	bel	
nombreux	nombreux	37.03	44.64	nom-breux	
larges	large	36.96	18.66	lar-ges	
anglais	anglais	36.69	32.22	an-glais	
tiède	tiède	36.69	3.85	tiè-de	
bien	bien	36.55	34.29	bien	
ridicule	ridicule	36.49	61.57	ri-di-cu-le	
invisible	invisible	36.35	16.21	in-vi-si-ble	
extraordinaire	extraordinaire	36.01	27.36	ex-traor-di-nai-re	
épaisse	épais	35.88	10.19	é-pais-se	
humain	humain	35.81	107.10	hu-main	
fragile	fragile	35.68	15.89	fra-gi-le	
russe	russe	35.34	32.27	rus-se	
bref	bref	35.20	15.63	bref	
sèche	sec	35.00	43.02	sè-che	
générale	général	34.73	41.31	gé-né-ra-le	
sauvage	sauvage	34.46	24.68	sau-va-ge	
meilleur	meilleur	34.32	221.17	meil-leur	
pure	pur	34.19	58.46	pu-re	
jaunes	jaune	34.05	21.09	jau-nes	
fine	fin	33.99	26.95	fi-ne	
fin	fin	33.72	26.95	fin	
dure	dur	33.65	187.84	du-re	
bête	bête	33.31	56.55	bê-te	
fameux	fameux	33.31	18.67	fa-meux	
lointain	lointain	33.18	10.12	loin-tain	
bleus	bleu	32.84	70.61	bleus	
courte	court	32.77	41.15	cour-te	
dangereux	dangereux	32.77	101.84	dan-ge-reux	
lointaine	lointain	32.50	10.12	loin-tai-ne	
prochaine	prochain	32.50	160.27	pro-chai-ne	
pleines	plein	32.43	208.75	plei-nes	
second	second	32.30	52.50	se-cond	
commun	commun	32.16	25.08	com-mun	
sombres	sombre	32.03	31.86	som-bres	
passé	passé	31.76	115.89	pas-sé	
solide	solide	31.49	21.71	so-li-de	
semblable	semblable	31.42	8.93	sem-bla-ble	
fier	fier	31.42	79.13	fier	
agréable	agréable	31.35	40.24	a-gréa-ble	
amoureux	amoureux	31.28	107.79	a-mou-reux	
ouvert	ouvert	31.08	39.97	ou-vert	
sensible	sensible	30.88	26.79	sen-si-ble	
vive	vif	30.61	22.95	vi-ve	
seules	seul	30.27	891.45	seu-les	
aveugle	aveugle	30.20	38.53	a-veu-gle	
formidable	formidable	30.07	54.23	for-mi-da-ble	
blonde	blond	29.93	21.45	blon-de	
secret	secret	29.59	62.68	se-cret	
étroite	étroit	29.59	10.79	é-troi-te	
furieux	furieux	29.53	25.31	fu-rieux	
roses	rose	29.46	23.72	ro-ses	
vivante	vivant	29.32	124.97	vi-van-te	
hauts	haut	29.26	68.05	hauts	
obscur	obscur	29.12	11.06	obs-cur	
immobiles	immobile	28.92	8.03	im-mo-bi-les	
commune	commun	28.58	25.08	com-mu-ne	
plat	plat	28.51	14.66	plat	
secrète	secret	28.51	62.68	se-crè-te	
prête	prêt	28.31	314.64	prê-te	
moyen	moyen	28.24	50.69	moyen	
morte	mort	28.18	89.29	mor-te	
étroit	étroit	28.18	10.79	é-troit	
rond	rond	28.04	12.31	rond	
allemand	allemand	27.97	41.32	al-le-mand	
fixe	fixe	27.97	11.12	fixe	
paisible	paisible	27.84	7.55	pai-si-ble	
arrière	arrière	27.70	17.38	ar-riè-re	
quelconque	quelconque	27.57	10.08	quel-con-que	
physique	physique	27.50	19.42	phy-si-que	
électrique	électrique	27.50	20.36	é-lec-tri-que	
perdu	perdu	27.43	36.46	per-du	
différent	différent	27.43	135.80	dif-fé-rent	
fidèle	fidèle	27.43	24.61	fi-dè-le	
mystérieux	mystérieux	27.36	19.61	mys-té-rieux	
digne	digne	27.30	25.29	di-gne	
fait	fait	27.30	32.77	fait	
sales	sale	27.16	146.86	sa-les	
fausse	faux	27.09	122.23	faus-se	
militaires	militaire	27.03	43.73	mi-li-tai-res	
brusque	brusque	26.76	2.69	brus-que	
joyeux	joyeux	26.69	39.89	joyeux	
inconnu	inconnu	26.42	23.13	in-con-nu	
politiques	politique	26.42	38.09	po-li-ti-ques	
américain	américain	25.95	63.92	a-mé-ri-cain	
divers	divers	25.88	7.28	di-vers	
con	con	25.68	55.33	con	
silencieuse	silencieux	25.68	12.01	si-len-cieu-se	
gras	gras	25.61	14.31	gras	
innombrables	innombrable	25.41	3.15	in-nom-bra-bles	
nocturne	nocturne	25.41	5.71	noc-tur-ne	
allemande	allemand	25.34	41.32	al-le-man-de	
brune	brun	25.34	13.16	bru-ne	
prêts	prêt	24.93	314.64	prêts	
publique	public	24.93	44.81	pu-bli-que	
totale	total	24.86	24.59	to-ta-le	
vagues	vague	24.86	9.90	va-gues	
meilleure	meilleur	24.86	221.17	meil-leu-re	
naturelle	naturel	24.86	39.78	na-tu-rel-le	
absurde	absurde	24.80	23.59	ab-sur-de	
exprès	exprès	24.80	24.06	ex-près	
mortes	mort	24.80	89.29	mor-tes	
sociale	social	24.80	34.40	so-cia-le	
célèbre	célèbre	24.73	31.67	cé-lè-bre	
fous	fou	24.66	321.31	fous	
aimable	aimable	24.59	23.41	ai-ma-ble	
raide	raide	24.53	7.76	rai-de	
avant	avant	24.46	23.80	a-vant	
moderne	moderne	24.46	21.30	mo-der-ne	
contente	content	24.32	178.94	con-ten-te	
simples	simple	24.32	137.69	sim-ples	
lisse	lisse	24.26	3.48	lis-se	
demie	demi	24.05	38.26	de-mie	
minuscules	minuscule	24.05	7.26	mi-nus-cu-les	
visible	visible	24.05	8.98	vi-si-ble	
utile	utile	23.99	44.99	u-ti-le	
admirable	admirable	23.92	6.51	ad-mi-ra-ble	
intime	intime	23.85	15.78	in-ti-me	
verts	vert	23.85	52.59	verts	
vrais	vrai	23.85	807.03	vrais	
vertes	vert	23.72	52.59	ver-tes	
voisine	voisin	23.72	14.31	voi-si-ne	
particulier	particulier	23.65	24.91	par-ti-cu-lier	
différentes	différent	23.65	135.80	dif-fé-ren-tes	
las	las	23.65	16.46	las	
lourds	lourd	23.58	29.45	lourd-s	
ronde	rond	23.58	12.31	ron-de	
populaire	populaire	23.45	19.34	po-pu-lai-re	
sage	sage	23.45	39.09	sa-ge	
chère	cher	23.38	205.75	chè-re	
inquiet	inquiet	23.38	34.96	in-quiet	
intérieure	intérieur	23.38	13.17	in-té-rieu-re	
modeste	modeste	23.38	10.64	mo-des-te	
brave	brave	23.31	30.93	bra-ve	
lent	lent	23.31	16.41	lent	
ouverts	ouvert	23.31	39.97	ou-verts	
venu	venu	23.24	27.67	ve-nu	
lumineux	lumineux	23.24	7.36	lu-mi-neux	
lourdes	lourd	23.18	29.45	lour-des	
amoureuse	amoureux	23.11	107.79	a-mou-reu-se	
déserte	désert	22.91	8.02	dé-ser-te	
immenses	immense	22.91	21.56	im-men-ses	
magnifique	magnifique	22.91	88.22	ma-gni-fi-que	
précieux	précieux	22.91	24.66	pré-cieux	
riches	riche	22.91	73.85	ri-ches	
sévère	sévère	22.91	9.47	sé-vè-re	
étranger	étranger	22.84	31.39	é-tran-ger	
molle	mou,mol	22.70	5.37	mol-le	
différents	différent	22.64	135.80	dif-fé-rents	
gai	gai	22.64	20.00	gai	
rude	rude	22.64	6.85	ru-de	
vu	vu	22.43	49.53	vu	
neuve	neuf	22.43	59.45	neu-ve	
affreux	affreux	22.23	34.96	af-freux	
insupportable	insupportable	22.23	11.42	in-sup-por-ta-ble	
nouvel	nouvel	22.23	30.59	nou-vel	
interminable	interminable	22.16	4.11	in-ter-mi-na-ble	
prochain	prochain	21.96	160.27	pro-chain	
pénible	pénible	21.96	13.75	pé-ni-ble	
