<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
reste	reste	152.91	214.54	res-te	
front	front	152.57	41.03	front	
livre	livre	151.76	198.11	li-vre	
affaire	affaire	150.54	393.83	af-fai-re	
cour	cour	150.14	71.80	cour	
français	français	148.72	39.49	fran-çais	
jardin	jardin	148.72	60.21	jar-din	
sol	sol	148.31	47.17	sol	
impression	impression	146.28	90.19	im-pres-sion	
personne	personne	145.95	296.74	per-son-ne	
type	type	145.95	334.85	ty-pe	
lendemain	lendemain	145.54	29.29	len-de-main	
murs	mur	145.20	88.93	murs	
papier	papier	144.59	120.51	pa-pier	
hôtel	hôtel	143.78	114.67	hô-tel	
amis	ami	143.45	747.98	a-mis	
frère	frère	142.36	390.39	frè-re	
arbres	arbre	141.42	81.69	ar-bres	
lettre	lettre	140.88	156.77	let-tre	
journée	journée	140.74	174.89	jour-née	
minutes	minute	140.68	342.28	mi-nu-tes	
maman	maman	140.20	540.21	ma-man	
ami	ami	140.14	747.98	a-mi	
droit	droit	138.72	207.62	droit	
parents	parent	138.72	188.38	pa-rents	
ton	ton	138.45	53.24	ton	
forme	forme	137.91	94.19	for-me	
présent	présent	137.23	66.72	pré-sent	
passage	passage	136.82	44.73	pas-sa-ge	
ventre	ventre	136.62	46.91	ven-tre	
vue	vue	136.01	87.84	vue	
mouvement	mouvement	134.80	40.33	mou-ve-ment	
livres	livre	134.73	198.11	li-vres	
manière	manière	134.66	72.31	ma-niè-re	
joie	joie	134.12	75.09	joie	
gauche	gauche	133.78	71.78	gau-che	
intérieur	intérieur	133.51	90.11	in-té-rieur	
vérité	vérité	133.38	193.24	vé-ri-té	
présence	présence	133.11	45.03	pré-sen-ce	
époque	époque	132.70	68.44	é-po-que	
jeu	jeu	130.68	190.44	jeu	
bureau	bureau	130.07	167.13	bu-reau	
vieux	vieux	129.80	145.73	vieux	
âme	âme	129.53	141.59	â-me	
année	année	128.99	316.25	an-née	
début	début	128.51	114.31	dé-but	
école	école	128.51	206.88	é-co-le	
habitude	habitude	128.51	98.22	ha-bi-tu-de	
or	or	127.23	110.28	or	
espèce	espèce	127.23	116.51	es-pè-ce	
forces	force	126.35	151.96	for-ces	
